ticker,year,quarter,is_annual,revenue,cogs,net_profit,ar_end,inv_end,ap_end,total_assets_end,total_equity_end,NPM,ROA,ROE,DSO,DIO,DPO,CCC,rev_low,balance_ok,source
MANRIN,2567,Q3,False,99.8557,55.5979,18.1941,15.8826,1.1124,34.5267,699.7538,426.5946,0.1822,0.026,0.0436,12.3792,1.8811,58.4768,-44.2165,,True,Q3_FS.xlsx
MANRIN,2567,Q4,False,102.6529,57.4153,11.9503,13.2174,1.6264,40.0599,691.6676,438.5449,0.1164,0.0172,0.0276,13.0401,2.1943,59.7574,-44.5231,,,
MANRIN,2568,Q1,False,97.8812,53.115,14.114,16.1787,1.3477,29.991,669.2441,452.6589,0.1442,0.0207,0.0317,13.5146,2.5197,59.3484,-43.3141,,True,Q1_FS.xlsx
MANRIN,2568,Q2,False,75.445,48.0476,3.6651,13.7,1.2802,32.1413,668.5211,456.324,0.0486,0.0055,0.0081,18.0195,2.4886,58.8379,-38.3298,,True,Q2_FS.xlsx
MANRIN,2568,Q3,False,95.0862,57.5382,11.84,12.9018,1.1287,38.2079,669.4754,468.164,0.1245,0.0177,0.0256,12.8692,1.9259,56.242,-41.447,,True,Q3_FS.xlsx
MANRIN,2568,Q4,False,94.8345,55.0352,10.1986,10.6145,1.6372,30.4437,645.3267,476.4493,0.1075,0.0155,0.0216,11.4067,2.3118,57.3811,-43.6625,,,
MINT,2564,Q1,False,12653.858,8670.877,-7798.673,14721.379,3667.674,15245.522,353002.88,69419.738,-0.6163,-0.0218,-0.107,104.0029,38.1464,158.5789,-16.4296,Y,True,Q1_FS.xlsx
MINT,2564,Q2,False,15840.486,9770.642,-4188.238,14396.577,3636.485,15838.852,362628.36,65612.425,-0.2644,-0.0117,-0.062,83.638,34.0141,144.7539,-27.1019,,True,Q2_FS.xlsx
MINT,2564,Q3,False,20789.337,11835.953,-551.893,16127.792,3777.876,17618.801,359719.892,63481.21,-0.0265,-0.0015,-0.0086,67.5404,28.8156,130.0319,-33.6759,,True,Q3_FS.xlsx
MINT,2564,Q4,False,26927.5804,12194.2255,-1636.5656,16864.8165,3490.1827,18393.6398,369632.8896,79492.4305,-0.0608,-0.0045,-0.0229,56.3608,27.4171,135.8489,-52.071,,,
MINT,2565,Q1,False,20672.252,13113.487,-4067.712,20758.575,3671.525,18781.601,363430.987,75663.465,-0.1968,-0.0111,-0.0524,81.8998,24.576,127.5699,-21.0941,,True,Q1_FS.xlsx
MINT,2565,Q2,False,32348.359,16080.254,1701.487,19195.547,3982.958,19282.544,364423.437,79308.323,0.0526,0.0047,0.022,56.198,21.6588,107.7047,-29.8479,,True,Q2_FS.xlsx
MINT,2565,Q3,False,35153.927,17222.59,4775.446,20887.878,3907.026,20414.772,370265.417,84082.853,0.1358,0.013,0.0585,52.4504,21.0734,106.028,-32.5041,,True,Q3_FS.xlsx
MINT,2565,Q4,False,36031.3102,17411.4609,2113.4587,19372.9974,3909.1979,21806.5212,358209.7614,82608.97,0.0587,0.0058,0.0254,51.3997,20.65,111.546,-39.4963,,,
